Brand,Model,CPU,RAM (GB),Storage (GB),GPU,Purpose,Price ($),Screen (in),OS,Weight (kg),Battery Life (hrs),Release Year,Color
MSI,Modern 14,Intel i5,8,512,Intel UHD,Everyday Use,749,14,Windows 11,2,21,2024,Space Gray
HP,Elite Dragonfly,Intel i5,16,512,Intel UHD,Business,2399,13.3,Windows 11,2.3,7,2024,Phantom Black
ASUS,VivoBook 15,AMD Ryzen 5,8,512,AMD Radeon Vega,Everyday Use,599,15.6,Windows 11,1.6,12,2024,Pine Gray
Lenovo,ThinkPad L14 Gen 2,Intel i5,8,256,Intel UHD,Business,699,14,Windows 11,2,6,2024,Black
Dell,Inspiron 15 5000,Intel i7,16,512,Intel UHD,Everyday Use,799,15.6,Windows 11,2.3,7,2024,Lunar Light
Apple,MacBook Pro M2 Max,Apple M2 Max,32,1024,Apple GPU,Professional Use,2999,16.2,macOS,2.5,6,2024,Black
MSI,Alpha 15,AMD Ryzen 7,16,512,AMD Radeon RX 6600M,Gaming,1299,15.6,Windows 11,1.4,18,2024,Space Gray
HP,ProBook 450 G7,Intel i5,8,256,Intel UHD,Business,749,15.6,Windows 11,1.8,8,2024,Black
Lenovo,ThinkPad L15,Intel i5,8,512,Intel UHD,Business,699,15.6,Windows 11,2.3,7,2024,Eclipse Gray
Dell,Inspiron 15 3000,Intel i3,4,128,Intel UHD,Everyday Use,449,15.6,Windows 11,2.5,8,2024,Shadow Black
HP,Elite Dragonfly G2,Intel i7,16,512,Intel UHD,Business,2199,13.3,Windows 11,1.2,12,2024,Platinum Silver
ASUS,VivoBook 14,Intel i3,4,256,Intel UHD,Everyday Use,399,14,Windows 11,1.4,13,2024,Storm Gray
Apple,MacBook Air M2,Apple M2,8,256,Apple GPU,Everyday Use,1199,13.3,macOS,1.8,7,2024,Carbon Gray
MSI,Pulse GL66,Intel i7,16,512,NVIDIA RTX 3060,Gaming,1499,15.6,Windows 11,1.3,18,2024,Starlight
Lenovo,Legion 5,AMD Ryzen 7,16,512,NVIDIA GTX 1650,Gaming,1099,15.6,Windows 11,2.1,6,2024,Phantom Black
Dell,XPS 13 9310,Intel i7,16,512,Intel Iris Xe,Professional Use,1499,13.4,Windows 11,2.4,8,2024,Black
HP,Spectre x360 13.5,Intel i5,8,512,Intel Iris Xe,Professional Use,1099,13.5,Windows 11,1.5,12,2024,Pine Gray
ASUS,ZenBook 15,Intel i7,16,512,NVIDIA GTX 1650,Professional Use,999,15.6,Windows 11,1.3,13,2024,Nightfall Black
Apple,MacBook Pro 14 M2,Apple M2,16,512,Apple GPU,Professional Use,1799,14.2,macOS,2.7,6,2024,Lunar Light
MSI,GE66 Raider,Intel i9,32,1024,NVIDIA RTX 3070,Gaming,2299,15.6,Windows 11,1.6,17,2024,Space Gray
HP,ProBook 430 G8,Intel i5,8,256,Intel UHD,Business,749,13.3,Windows 11,1.1,15,2024,Black
ASUS,TUF Gaming A15,AMD Ryzen 7,16,512,NVIDIA GTX 1650,Gaming,1099,15.6,Windows 11,3,5,2024,Black
Lenovo,IdeaPad Flex 5 14,AMD Ryzen 5,8,512,AMD Radeon Vega,Everyday Use,799,14,Windows 11,1.8,8,2024,Black
Dell,Latitude 7410,Intel i7,16,512,Intel UHD,Business,1799,14,Windows 11,1.9,9,2024,Silver
MSI,Summit E13 Flip,Intel i7,16,512,Intel Iris Xe,Professional Use,1399,13.4,Windows 11,1.7,8,2024,Black
HP,Omen 15,Intel i7,16,512,NVIDIA GTX 1660,Gaming,1199,15.6,Windows 11,1.3,10,2024,Silver
ASUS,ZenBook Flip 13,Intel i7,16,512,Intel Iris Xe,Professional Use,1399,13.3,Windows 11,1.8,9,2024,Transparent Silver
Lenovo,ThinkPad X1 Extreme Gen 4,Intel i9,32,1024,NVIDIA RTX 3060,Professional Use,2499,15.6,Windows 11,2.3,7,2024,Carbon Gray
Dell,Alienware M15 R6,Intel i7,16,512,NVIDIA RTX 3060,Gaming,1799,15.6,Windows 11,1.5,8,2024,Black
MSI,Creator Z17,Intel i7,32,1024,NVIDIA RTX 3070,Professional Use,2299,17.3,Windows 11,2,16,2024,Space Gray
HP,EliteBook 850 G7,Intel i7,16,512,Intel UHD,Business,1599,15.6,Windows 11,1.7,8,2024,Platinum Gray
ASUS,VivoBook 15,Intel i3,8,256,Intel UHD,Everyday Use,499,15.6,Windows 11,1.6,10,2024,Natural Silver
Lenovo,ThinkPad X1 Yoga Gen 6,Intel i7,16,512,Intel UHD,Business,1799,14,Windows 11,2.3,6,2024,Bonfire Black
Dell,Inspiron 14 5000,Intel i7,16,512,Intel Iris Xe,Everyday Use,899,14,Windows 11,2.4,7,2024,Phantom Black
MSI,GE76 Raider 11UG,Intel i9,32,1024,NVIDIA RTX 3080,Gaming,2499,17.3,Windows 11,1.4,8,2024,Silver
HP,Spectre x360 16,Intel i7,16,512,Intel Iris Xe,Professional Use,1599,16,Windows 11,1.3,10,2024,Mist Green
ASUS,ROG Zephyrus G14,AMD Ryzen 9,16,512,NVIDIA RTX 3070,Gaming,1899,14,Windows 11,1.3,18,2024,Midnight
Lenovo,Yoga 9i 14 Gen 7,Intel i7,16,512,Intel Iris Xe,Professional Use,1399,14,Windows 11,1.9,7,2024,Black
Dell,Latitude 5320 2-in-1,Intel i5,8,256,Intel UHD,Business,799,13.3,Windows 11,1.6,12,2024,Pine Gray
MSI,Stealth 15M,Intel i7,16,512,NVIDIA RTX 3060,Gaming,1599,15.6,Windows 11,1.8,10,2024,Black
HP,Pavilion 14,Intel i5,8,512,Intel UHD,Everyday Use,699,14,Windows 11,2.2,6,2024,Black
ASUS,TUF Gaming F17,Intel i7,16,512,NVIDIA GTX 1650,Gaming,1199,17.3,Windows 11,0.9,15,2024,Dragonfly Blue
Lenovo,ThinkPad T14s Gen 2,Intel i7,16,512,Intel UHD,Business,1499,14,Windows 11,1.6,8,2024,Star Black
Dell,Vostro 15 5000,Intel i5,8,256,Intel UHD,Business,599,15.6,Windows 11,1.5,9,2024,Platinum Gray
MSI,Raider GE76,Intel i9,32,1024,NVIDIA RTX 3070,Gaming,2299,17.3,Windows 11,2.8,6,2024,Black
HP,ProBook 450 G6,Intel i5,8,256,Intel UHD,Business,699,15.6,Windows 11,2.3,7,2024,Black
ASUS,ZenBook 14 UX425,Intel i7,16,512,Intel Iris Xe,Professional Use,1399,14,Windows 11,1.4,10,2024,Silver
Lenovo,ThinkPad X1 Carbon Gen 10,Intel i9,16,512,Intel UHD,Business,1799,14,Windows 11,1.3,12,2024,Nightfall Black
Dell,Precision 5550,Intel i7,16,512,NVIDIA Quadro,Professional Use,1899,15.6,Windows 11,1.1,13,2024,Pine Gray
MSI,Creator 15A6,Intel i7,16,512,NVIDIA GTX 1660,Professional Use,1599,15.6,Windows 11,1.5,8,2024,Silver
HP,Spectre x360 14,Intel i5,8,256,Intel Iris Xe,Professional Use,1299,14,Windows 11,2.2,7,2024,Phantom Black
ASUS,VivoBook Flip 14,Intel i5,8,512,Intel UHD,Everyday Use,699,14,Windows 11,2.4,8,2024,Black
Lenovo,Legion 7i Gen 7,Intel i9,32,1024,NVIDIA RTX 3080,Gaming,2699,16,Windows 11,1.3,18,2024,Midnight
MSI,Modern 15,Intel i5,8,512,Intel UHD,Everyday Use,799,15.6,Windows 11,2.1,7,2024,Black
Dell,Inspiron 14 5000,Intel i7,16,512,Intel Iris Xe,Everyday Use,899,14,Windows 11,1.2,10,2024,Moonlight White
ASUS,ROG Strix Scar 15,Intel i9,32,1024,NVIDIA RTX 3080,Gaming,2599,15.6,Windows 11,2.5,7,2024,Black
Lenovo,ThinkPad L15,Intel i5,8,512,Intel UHD,Business,699,15.6,Windows 11,1.5,9,2024,Black
Dell,Inspiron 15 3000,Intel i3,4,128,Intel UHD,Everyday Use,449,15.6,Windows 11,1.2,14,2024,Platinum Silver
HP,Elite Dragonfly G2,Intel i7,16,512,Intel UHD,Business,2199,13.3,Windows 11,1.4,20,2024,Space Gray
ASUS,VivoBook 14,Intel i3,4,256,Intel UHD,Everyday Use,399,14,Windows 11,1.9,9,2024,Silver
Apple,MacBook Air M2,Apple M2,8,256,Apple GPU,Everyday Use,1199,13.3,macOS,1.6,8,2024,Transparent Silver
MSI,Pulse GL66,Intel i7,16,512,NVIDIA RTX 3060,Gaming,1499,15.6,Windows 11,2.5,6,2024,Black
Lenovo,Legion 5,AMD Ryzen 7,16,512,NVIDIA GTX 1650,Gaming,1099,15.6,Windows 11,1.4,12,2024,Storm Gray
Dell,XPS 13 9310,Intel i7,16,512,Intel Iris Xe,Professional Use,1499,13.4,Windows 11,4.5,4,2024,Lunar Light
HP,Spectre x360 13.5,Intel i5,8,512,Intel Iris Xe,Professional Use,1099,13.5,Windows 11,0.99,15,2024,Dragonfly Blue
ASUS,ZenBook 15,Intel i7,16,512,NVIDIA GTX 1650,Professional Use,999,15.6,Windows 11,1.3,18,2024,Starlight
Apple,MacBook Pro 14 M2,Apple M2,16,512,Apple GPU,Professional Use,1799,14.2,macOS,1.6,10,2024,Eclipse Gray
MSI,GE66 Raider,Intel i9,32,1024,NVIDIA RTX 3070,Gaming,2299,15.6,Windows 11,2.3,6,2024,Black
HP,ProBook 430 G8,Intel i5,8,256,Intel UHD,Business,749,13.3,Windows 11,1.7,8,2024,Black
ASUS,TUF Gaming A15,AMD Ryzen 7,16,512,NVIDIA GTX 1650,Gaming,1099,15.6,Windows 11,1.4,10,2024,Platinum Gray
Lenovo,IdeaPad Flex 5 14,AMD Ryzen 5,8,512,AMD Radeon Vega,Everyday Use,799,14,Windows 11,1.4,10,2024,Silver
Dell,Latitude 7410,Intel i7,16,512,Intel UHD,Business,1799,14,Windows 11,1.8,12,2024,Pine Gray
MSI,Summit E13 Flip,Intel i7,16,512,Intel Iris Xe,Professional Use,1399,13.4,Windows 11,1.6,12,2024,Natural Silver
HP,Omen 15,Intel i7,16,512,NVIDIA GTX 1660,Gaming,1199,15.6,Windows 11,2.9,6,2024,Black
ASUS,ZenBook Flip 13,Intel i7,16,512,Intel Iris Xe,Professional Use,1399,13.3,Windows 11,1.8,8,2024,Silver
Lenovo,ThinkPad X1 Extreme Gen 4,Intel i9,32,1024,NVIDIA RTX 3060,Professional Use,2499,15.6,Windows 11,1.1,15,2024,Black
Dell,Alienware M15 R6,Intel i7,16,512,NVIDIA RTX 3060,Gaming,1799,15.6,Windows 11,2,7,2024,Black
MSI,Creator Z17,Intel i7,32,1024,NVIDIA RTX 3070,Professional Use,2299,17.3,Windows 11,2,7,2024,Eclipse Gray
HP,EliteBook 850 G7,Intel i7,16,512,Intel UHD,Business,1599,15.6,Windows 11,1.6,10,2024,Silver
ASUS,VivoBook 15,Intel i3,8,256,Intel UHD,Everyday Use,499,15.6,Windows 11,1.7,9,2024,Black
Lenovo,ThinkPad X1 Yoga Gen 6,Intel i7,16,512,Intel UHD,Business,1799,14,Windows 11,1.8,7,2024,Black
Dell,Inspiron 14 5000,Intel i7,16,512,Intel Iris Xe,Everyday Use,899,14,Windows 11,1.8,6,2024,Black
MSI,GE76 Raider 11UG,Intel i9,32,1024,NVIDIA RTX 3080,Gaming,2499,17.3,Windows 11,2.1,21,2024,Space Gray
HP,Spectre x360 16,Intel i7,16,512,Intel Iris Xe,Professional Use,1599,16,Windows 11,1.8,8,2024,Transparent Silver
ASUS,ROG Zephyrus G14,AMD Ryzen 9,16,512,NVIDIA RTX 3070,Gaming,1899,14,Windows 11,2.3,6,2024,Black
Lenovo,Yoga 9i 14 Gen 7,Intel i7,16,512,Intel Iris Xe,Professional Use,1399,14,Windows 11,1.4,9,2024,Silver
Dell,Latitude 5320 2-in-1,Intel i5,8,256,Intel UHD,Business,799,13.3,Windows 11,1.7,8,2024,Abyss Blue
MSI,Stealth 15M,Intel i7,16,512,NVIDIA RTX 3060,Gaming,1599,15.6,Windows 11,2,7,2024,Black
HP,Pavilion 14,Intel i5,8,512,Intel UHD,Everyday Use,699,14,Windows 11,2.3,7,2024,Eclipse Gray
ASUS,TUF Gaming F17,Intel i7,16,512,NVIDIA GTX 1650,Gaming,1199,17.3,Windows 11,2.5,8,2024,Platinum Silver
Lenovo,ThinkPad T14s Gen 2,Intel i7,16,512,Intel UHD,Business,1499,14,Windows 11,2.4,6,2024,Phantom Black
Dell,Vostro 15 5000,Intel i5,8,256,Intel UHD,Business,599,15.6,Windows 11,1.8,7,2024,Silver
MSI,Raider GE76,Intel i9,32,1024,NVIDIA RTX 3070,Gaming,2299,17.3,Windows 11,1.9,8,2024,Black
HP,ProBook 450 G6,Intel i5,8,256,Intel UHD,Business,699,15.6,Windows 11,2,7,2024,Black
ASUS,ZenBook 14 UX425,Intel i7,16,512,Intel Iris Xe,Professional Use,1399,14,Windows 11,2.2,12,2024,Silver
Lenovo,ThinkPad X1 Carbon Gen 10,Intel i9,16,512,Intel UHD,Business,1799,14,Windows 11,1.5,11,2024,Black
Dell,Precision 5550,Intel i7,16,512,NVIDIA Quadro,Professional Use,1899,15.6,Windows 11,1.7,8,2024,Starlight
MSI,Creator 15A6,Intel i7,16,512,NVIDIA GTX 1660,Professional Use,1599,15.6,Windows 11,2,9,2024,Slate Grey
HP,Spectre x360 14,Intel i5,8,256,Intel Iris Xe,Professional Use,1299,14,Windows 11,2.5,7,2024,Black
ASUS,VivoBook Flip 14,Intel i5,8,512,Intel UHD,Everyday Use,699,14,Windows 11,1.3,9,2024,Nightfall Black
Lenovo,Legion 7i Gen 7,Intel i9,32,1024,NVIDIA RTX 3080,Gaming,2699,16,Windows 11,2,18,2024,Phantom Black
MSI,Modern 15,Intel i5,8,512,Intel UHD,Everyday Use,799,15.6,Windows 11,1.3,12,2024,Black
Dell,Inspiron 14 5000,Intel i7,16,512,Intel Iris Xe,Everyday Use,899,14,Windows 11,1,13,2024,Transparent Silver
ASUS,ROG Strix Scar 15,Intel i9,32,1024,NVIDIA RTX 3080,Gaming,2599,15.6,Windows 11,2.3,11,2024,Black
HP,Envy x360 13,Intel i7,16,512,Intel Iris Xe,Professional Use,1299,13.3,Windows 11,1.3,12,2024,Mica Silver
Dell,Inspiron 15 5000,Intel i5,8,256,Intel UHD,Everyday Use,649,15.6,Windows 11,1.7,7,2024,Black
Lenovo,Yoga 7i 14,Intel i7,16,512,Intel Iris Xe,Professional Use,1399,14,Windows 11,1.5,8,2024,Cloud Grey
ASUS,ROG Flow Z13,Intel i9,32,1024,NVIDIA RTX 3080,Gaming,2299,13.4,Windows 11,1.4,6,2024,Lunar Gray
MSI,Prestige 14,Intel i7,16,512,NVIDIA GTX 1650,Professional Use,1399,14,Windows 11,2,15,2024,Fortress Gray
Lenovo,ThinkPad L15,Intel i5,8,256,Intel UHD,Business,649,15.6,Windows 11,1.5,8,2024,Silver
Dell,Latitude 7420 2-in-1,Intel i7,16,512,Intel Iris Xe,Business,1699,14,Windows 11,1.4,9,2024,Grape Purple
MSI,Alpha 15,AMD Ryzen 7,16,512,AMD Radeon RX 6600M,Gaming,1499,15.6,Windows 11,1.4,15,2024,Platinum Silver
ASUS,ZenBook Flip 14,Intel i5,8,512,Intel UHD,Professional Use,899,14,Windows 11,1.2,8,2024,Black
HP,Pavilion x360 14,Intel i5,8,512,Intel Iris Xe,Everyday Use,749,14,Windows 11,2.1,8,2024,Carbon Gray
Lenovo,Legion 5 Pro,AMD Ryzen 9,32,1024,NVIDIA RTX 3070,Gaming,2199,16,Windows 11,2,7,2024,Silver
MSI,Creator 17,Intel i9,32,1024,NVIDIA RTX 3080,Professional Use,2599,17.3,Windows 11,1.3,9,2024,Eclipse Gray
ASUS,VivoBook Pro 14,Intel i7,16,512,NVIDIA GTX 1650,Everyday Use,999,14,Windows 11,2.3,21,2024,Silver
Lenovo,ThinkPad X1 Nano,Intel i7,16,512,Intel Iris Xe,Business,1599,13,Windows 11,2.4,8,2024,Silver
Dell,Alienware X17,Intel i9,32,1024,NVIDIA RTX 3080,Gaming,2799,17.3,Windows 11,2.3,12,2024,Platinum Silver
MSI,Katana GF66,Intel i7,16,512,NVIDIA RTX 3060,Gaming,1399,15.6,Windows 11,1.3,9,2024,Black
HP,Elite Dragonfly G2,Intel i7,16,512,Intel Iris Xe,Business,2299,13.3,Windows 11,1.8,10,2024,Phantom Black
ASUS,TUF Dash F15,Intel i7,16,512,NVIDIA RTX 3060,Gaming,1499,15.6,Windows 11,2.7,10,2024,Pine Grey
Lenovo,ThinkPad P14s,Intel i7,16,512,NVIDIA Quadro,Professional Use,1699,14,Windows 11,2.2,7,2024,Black
MSI,GE66 Raider,Intel i9,32,1024,NVIDIA RTX 3070,Gaming,2499,15.6,Windows 11,1.4,18,2024,Nightfall Black
HP,Spectre x360 15,Intel i7,16,512,Intel Iris Xe,Professional Use,1599,15.6,Windows 11,0.97,8,2024,Dark Side of the Moon
Dell,XPS 13 9310,Intel i7,16,512,Intel Iris Xe,Professional Use,1799,13.4,Windows 11,1.8,10,2024,Platinum Grey
ASUS,ZenBook Pro Duo 15,Intel i9,32,1024,NVIDIA RTX 3070,Professional Use,2599,15.6,Windows 11,1.8,8,2024,Carbon Gray
Lenovo,IdeaPad Flex 5 14,AMD Ryzen 5,8,256,AMD Radeon Vega,Everyday Use,699,14,Windows 11,1.7,8,2024,Eclipse Gray
MSI,GL65 Leopard,Intel i7,16,512,NVIDIA GTX 1660 Ti,Gaming,1399,15.6,Windows 11,2,7,2024,Pure Silver
ASUS,Chromebook Flip C536,Intel i5,8,128,Intel UHD,Chromebook,549,15.6,Chrome OS,2.3,11,2024,Black
Lenovo,Legion 5i,Intel i7,16,512,NVIDIA RTX 3060,Gaming,1699,15.6,Windows 11,1.3,20,2024,Platinum Silver
Dell,Inspiron 14 5000,Intel i5,8,256,Intel UHD,Everyday Use,749,14,Windows 11,2.5,9,2024,Black
HP,EliteBook 840 G7,Intel i5,8,256,Intel UHD,Business,849,14,Windows 11,2,10,2024,Silver
MSI,GF63 Thin,Intel i5,8,512,NVIDIA GTX 1650,Gaming,999,15.6,Windows 11,2,8,2024,Silver
Lenovo,ThinkPad X13,Intel i7,16,512,Intel Iris Xe,Business,1499,13.3,Windows 11,1.8,12,2024,Black
Dell,Precision 7750,Intel i9,32,1024,NVIDIA Quadro RTX,Professional Use,2999,17.3,Windows 11,2,9,2024,Black
ASUS,ROG Strix G17,AMD Ryzen 9,32,1024,NVIDIA RTX 3070,Gaming,2399,17.3,Windows 11,1.1,5,2024,Grey
Lenovo,ThinkPad E14,Intel i5,8,256,Intel UHD,Business,649,14,Windows 11,2.7,6,2024,Black
MSI,GP66 Leopard,Intel i7,16,512,NVIDIA RTX 3070,Gaming,1799,15.6,Windows 11,1.9,8,2024,Black
ASUS,VivoBook 15,Intel i5,8,256,Intel UHD,Everyday Use,599,15.6,Windows 11,2.2,18,2024,Black
Microsoft,Microsoft Model 455,Intel i9,64,2048,NVIDIA RTX 3050,Gaming,1930.33,14,macOS,1.8,7,2024,Silver
Dell,Dell Model 251,Intel i5,4,1024,NVIDIA RTX 3050,Business,1746.96,17.3,Windows 11,1.8,8,2024,Graphite Grey
HP,HP Spectre x360,Intel i7,16,512,Intel Iris Xe,Lightweight Use,1349.99,13.5,Windows 11,1.3,10,2024,Shadow Black
Apple,MacBook Pro 16,Apple M2,32,1000,Apple GPU,Everyday Use,2499,16.2,macOS,1.5,8,2024,Phantom Grey
Lenovo,Lenovo ThinkPad X1,Intel i7,32,1000,NVIDIA GTX 1650,Professional Use,1899.5,14,Windows 11 Pro,1.2,9,2024,Pine Grey
Asus,Asus ROG Strix G15,AMD Ryzen 9,16,512,NVIDIA RTX 3060,Content Creation,1599,15.6,Windows 10,2,10,2024,Phantom Black
Acer,Acer Predator Helios 300,Intel i7,16,1024,NVIDIA RTX 3070,Content Creation,1799.99,15.6,Windows 11,1.2,9,2024,Silver
Microsoft,Surface Laptop 4,Intel i7,16,512,Intel Iris Xe,Gaming,1499,13.5,Windows 11,1.7,7,2024,Black
Razer,Razer Blade 15,Intel i7,16,1000,NVIDIA RTX 3080,Gaming/Workstation,2399.99,15.6,Windows 11,1.8,12,2024,Silver
Samsung,Samsung Galaxy Book Pro,Intel i5,8,512,Intel Iris Xe,Gaming/Workstation,999.99,15.6,Windows 11,1.3,6,2024,Fortress Gray
Microsoft,Microsoft Model 455,Intel i9,64,2048,NVIDIA RTX 3050,Hybrid Use,1930.33,14,macOS,2,20,2024,Black
Dell,Dell Model 251,Intel i5,4,1024,NVIDIA RTX 3050,Gaming,1746.96,17.3,Windows 11,2.3,9,2024,Lunar Light
HP,HP Spectre x360,Intel i7,16,512,Intel Iris Xe,Gaming/Workstation,1349.99,13.5,Windows 11,1.6,10,2024,Black
Apple,MacBook Pro 16,Apple M2,32,1000,Apple GPU,Ultrabook,2499,16.2,macOS,2,7,2024,Pine Grey
Lenovo,Lenovo ThinkPad X1,Intel i7,32,1000,NVIDIA GTX 1650,Gaming,1899.5,14,Windows 11 Pro,2.3,8,2024,Dragonfly Blue
Asus,Asus ROG Strix G15,AMD Ryzen 9,16,512,NVIDIA RTX 3060,Gaming,1599,15.6,Windows 10,2.5,10,2024,Black
Acer,Acer Predator Helios 300,Intel i7,16,1024,NVIDIA RTX 3070,Lightweight Use,1799.99,15.6,Windows 11,1.4,10,2024,Platinum Silver
Microsoft,Surface Laptop 4,Intel i7,16,512,Intel Iris Xe,Budget,1499,13.5,Windows 11,1.8,12,2024,Carbon Grey
Razer,Razer Blade 15,Intel i7,16,1000,NVIDIA RTX 3080,Business,2399.99,15.6,Windows 11,2.3,15,2024,Moonlight White
Samsung,Samsung Galaxy Book Pro,Intel i5,8,512,Intel Iris Xe,Gaming/Workstation,999.99,15.6,Windows 11,2.5,6,2024,Black
MSI,MSI GE76 Raider,Intel i9,32,2048,NVIDIA RTX 3070,Gaming,2199.99,17.3,Windows 11,1.2,7,2024,Silver
Toshiba,Toshiba Dynabook Tecra A50,Intel i5,8,256,Intel UHD Graphics,Student Use,799.99,15.6,Windows 10,1.4,5,2024,Black
LG,LG Gram 17,Intel i7,16,512,Intel Iris Xe,Business,1799,17,Windows 11,1.8,9,2024,Silver
Huawei,Huawei MateBook X Pro,Intel i7,16,512,NVIDIA MX250,Hybrid Use,1599,13.9,Windows 10,1.3,12,2024,Nightfall Blue
Lenovo,Lenovo Legion 5i,Intel i7,16,1024,NVIDIA RTX 3060,Gaming,1699,15.6,Windows 11,2.1,18,2024,Storm Grey
Microsoft,Microsoft Model 455,Intel i9,64,2048,NVIDIA RTX 3050,Gaming,1930.33,14,macOS,2.4,6,2024,Black
Dell,Dell Model 251,Intel i5,4,1024,NVIDIA RTX 3050,Budget,1746.96,17.3,Windows 11,1.5,10,2024,Pine Grey
HP,HP Spectre x360,Intel i7,16,512,Intel Iris Xe,Content Creation,1349.99,13.5,Windows 11,1.3,8,2024,Phantom Black
Apple,MacBook Pro 16,Apple M2,32,1000,Apple GPU,Gaming/Workstation,2499,16.2,macOS,2.7,8,2024,Graphite Grey
Lenovo,Lenovo ThinkPad X1,Intel i7,32,1000,NVIDIA GTX 1650,Gaming,1899.5,14,Windows 11 Pro,1.6,7,2024,Silver
Asus,Asus ROG Strix G15,AMD Ryzen 9,16,512,NVIDIA RTX 3060,Everyday Use,1599,15.6,Windows 10,1.1,8,2024,Fortress Gray
Acer,Acer Predator Helios 300,Intel i7,16,1024,NVIDIA RTX 3070,Everyday Use,1799.99,15.6,Windows 11,3,21,2024,Pure White
Microsoft,Surface Laptop 4,Intel i7,16,512,Intel Iris Xe,Budget,1499,13.5,Windows 11,1.8,9,2024,Black
Razer,Razer Blade 15,Intel i7,16,1000,NVIDIA RTX 3080,Lightweight Use,2399.99,15.6,Windows 11,1.9,8,2024,Platinum Silver
Samsung,Samsung Galaxy Book Pro,Intel i5,8,512,Intel Iris Xe,Gaming,999.99,15.6,Windows 11,1.7,10,2024,Phantom Black
MSI,MSI GE76 Raider,Intel i9,32,2048,NVIDIA RTX 3070,Everyday Use,2199.99,17.3,Windows 11,1.3,6,2024,Eclipse Grey
Toshiba,Toshiba Dynabook Tecra A50,Intel i5,8,256,Intel UHD Graphics,Business,799.99,15.6,Windows 10,1.8,8,2024,Black
LG,LG Gram 17,Intel i7,16,512,Intel Iris Xe,Everyday Use,1799,17,Windows 11,2.3,7,2024,Silver
Huawei,Huawei MateBook X Pro,Intel i7,16,512,NVIDIA MX250,Hybrid Use,1599,13.9,Windows 10,1.5,7,2024,Black
Lenovo,Lenovo Legion 5i,Intel i7,16,1024,NVIDIA RTX 3060,Ultrabook,1699,15.6,Windows 11,2,8,2024,Silver
MSI,MSI GF63 Thin,Intel i5,8,512,NVIDIA GTX 1650,Gaming,949.99,15.6,Windows 11,1.7,18,2024,Oatmeal
ASUS,ASUS ZenBook 14,Intel i7,16,512,Intel Iris Xe,Business,1399,14,Windows 11,1.6,9,2024,Silver
Alienware,Alienware X17,Intel i9,32,1024,NVIDIA RTX 3080,Gaming,2599,17.3,Windows 11,2.3,12,2024,Carbon Black
Samsung,Samsung Notebook Odyssey,Intel i7,16,512,NVIDIA GTX 1650,Gaming/Workstation,1299.99,15.6,Windows 10,2.4,9,2024,Jade Black
Gigabyte,Gigabyte Aero 15,Intel i7,16,512,NVIDIA RTX 2060,Student Use,1799.99,15.6,Windows 10,1.4,10,2024,Nightfall Blue
Microsoft,Microsoft Model 455,Intel i9,64,2048,NVIDIA RTX 3050,Gaming,1930.33,14,macOS,1.3,8,2024,Eclipse Gray
Dell,Dell Model 251,Intel i5,4,1024,NVIDIA RTX 3050,Productivity,1746.96,17.3,Windows 11,1.3,7,2024,Platinum Silver
HP,HP Spectre x360,Intel i7,16,512,Intel Iris Xe,Gaming,1349.99,13.5,Windows 11,1.9,9,2024,Black
Apple,MacBook Pro 16,Apple M2,32,1000,Apple GPU,Business,2499,16.2,macOS,1.6,21,2024,Black
Lenovo,Lenovo ThinkPad X1,Intel i7,32,1000,NVIDIA GTX 1650,Content Creation,1899.5,14,Windows 11 Pro,1.8,7,2024,Silver
Asus,Asus ROG Strix G15,AMD Ryzen 9,16,512,NVIDIA RTX 3060,Gaming,1599,15.6,Windows 10,2.2,12,2024,Black
Acer,Acer Predator Helios 300,Intel i7,16,1024,NVIDIA RTX 3070,Hybrid Use,1799.99,15.6,Windows 11,0.9,6,2024,Silver
Microsoft,Surface Laptop 4,Intel i7,16,512,Intel Iris Xe,Productivity,1499,13.5,Windows 11,1.6,7,2024,Carbon Black
Razer,Razer Blade 15,Intel i7,16,1000,NVIDIA RTX 3080,Workstation,2399.99,15.6,Windows 11,1.5,6,2024,Black
Samsung,Samsung Galaxy Book Pro,Intel i5,8,512,Intel Iris Xe,Ultrabook,999.99,15.6,Windows 11,2.8,18,2024,Pine Gray
MSI,MSI GE76 Raider,Intel i9,32,2048,NVIDIA RTX 3070,Gaming,2199.99,17.3,Windows 11,2.3,8,2024,Black
Toshiba,Toshiba Dynabook Tecra A50,Intel i5,8,256,Intel UHD Graphics,Gaming/Workstation,799.99,15.6,Windows 10,1.4,7,2024,Black
LG,LG Gram 17,Intel i7,16,512,Intel Iris Xe,Lightweight Use,1799,17,Windows 11,1.3,8,2024,Silver
Huawei,Huawei MateBook X Pro,Intel i7,16,512,NVIDIA MX250,Budget,1599,13.9,Windows 10,1.1,12,2024,Black
Lenovo,Lenovo Legion 5i,Intel i7,16,1024,NVIDIA RTX 3060,Everyday Use,1699,15.6,Windows 11,1.5,13,2024,Moonlight White
MSI,MSI GF63 Thin,Intel i5,8,512,NVIDIA GTX 1650,Productivity,949.99,15.6,Windows 11,2.2,7,2024,Platinum Gray
ASUS,ASUS ZenBook 14,Intel i7,16,512,Intel Iris Xe,Gaming,1399,14,Windows 11,2.4,18,2024,White
Alienware,Alienware X17,Intel i9,32,1024,NVIDIA RTX 3080,Productivity,2599,17.3,Windows 11,1.3,6,2024,Silver
